#,Date(DD/MM/YYYY),MM,DD,YYYY,Time of greatest eclipse (UTC),Saros,Type,Magnitude,Central duration (min:s)
1,6/21/2001,6,21,2001,12:04:46,127,Total,1.05,4:57:00 AM
2,12/4/2002,12,4,2002,07:32:16,142,Total,1.024,2:04:00 AM
3,11/23/2003,11,23,2003,22:50:22,152,Total,1.038,1:57:00 AM
4,3/29/2006,3,29,2006,10:12:23,139,Total,1.052,4:07:00 AM
5,8/1/2008,8,1,2008,10:22:12,126,Total,1.039,2:27:00 AM
6,7/22/2009,7,22,2009,02:36:25,136,Total,1.08,6:39:00 AM
7,7/11/2010,7,11,2010,19:34:38,146,Total,1.058,5:20:00 AM
8,11/13/2012,11,13,2012,22:12:55,133,Total,1.05,4:02:00 AM
9,3/20/2015,3,20,2015,09:46:47,120,Total,1.045,2:47:00 AM
10,3/9/2016,3,9,2016,01:58:19,130,Total,1.045,4:09:00 AM
11,8/21/2017,8,21,2017,18:26:40,145,Total,1.031,2:40:00 AM
12,7/2/2019,7,2,2019,19:24:08,127,Total,1.046,4:33:00 AM
13,12/14/2020,12,14,2020,16:14:39,142,Total,1.025,2:10:00 AM
